# Force and moment coefficients
# dragDir               : (9.9902800828979665e-01 4.4079912120170803e-02 0.0000000000000000e+00)
# sideDir               : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# liftDir               : (-4.4079912120170803e-02 9.9902800828979665e-01 0.0000000000000000e+00)
# rollAxis              : (9.9902800828979665e-01 4.4079912120170803e-02 0.0000000000000000e+00)
# pitchAxis             : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# yawAxis               : (-4.4079912120170803e-02 9.9902800828979665e-01 0.0000000000000000e+00)
# magUInf               : 2.4800000000000000e+02
# lRef                  : 1.0000000000000000e+00
# Aref                  : 1.0000000000000000e-02
# CofR                  : (2.5000000000000000e-01 0.0000000000000000e+00 0.0000000000000000e+00)
#
# Time                  	Cd                      	Cd(f)                   	Cd(r)                   	Cl                      	Cl(f)                   	Cl(r)                   	CmPitch                 	CmRoll                  	CmYaw                   	Cs                      	Cs(f)                   	Cs(r)                   
8222                    	1.4148621689260652e-02	3.5856745994208485e-03	1.0562947089839804e-02	6.9772725417289649e-01	2.5889966629172179e-01	4.3882758788117476e-01	-8.9963960794726530e-02	-3.4886362452094780e-03	7.0743182179613473e-05	-7.7494668863988185e-10	7.0742794706269156e-05	-7.0743569652957790e-05
8223                    	1.4151861101464228e-02	3.5872043460826292e-03	1.0564656755381600e-02	6.9774524606033617e-01	2.5889613750778984e-01	4.3884910855254633e-01	-8.9976485522378247e-02	-3.4887262046494846e-03	7.0759379171276020e-05	-7.7504601752580516e-10	7.0758991648267261e-05	-7.0759766694284779e-05
8224                    	1.4148933554377614e-02	3.5858179404630610e-03	1.0563115613914553e-02	6.9772977247625745e-01	2.5890073155095100e-01	4.3882904092530645e-01	-8.9964154687177708e-02	-3.4886488367257460e-03	7.0744741504550726e-05	-7.7495908413858614e-10	7.0744354025008662e-05	-7.0745128984092790e-05
8225                    	1.4152284351436383e-02	3.5874045123374635e-03	1.0564879839098920e-02	6.9774753780669285e-01	2.5889723211676308e-01	4.3885030568992978e-01	-8.9976536786583378e-02	-3.4887376633807280e-03	7.0761495420485569e-05	-7.7505840031603119e-10	7.0761107891285406e-05	-7.0761882949685719e-05
8226                    	1.4149182196622926e-02	3.5859329461465786e-03	1.0563249250476348e-02	6.9773163556419682e-01	2.5890196609659816e-01	4.3882966946759866e-01	-8.9963851685500279e-02	-3.4886581521648848e-03	7.0745984715244459e-05	-7.7497128610367576e-10	7.0745597229601414e-05	-7.0746372200887519e-05
8227                    	1.4152049812316287e-02	3.5872806818682485e-03	1.0564769130448036e-02	6.9774884998863784e-01	2.5889847187812121e-01	4.3885037811051664e-01	-8.9975953116197729e-02	-3.4887442242898946e-03	7.0760322724352836e-05	-7.7507058440399322e-10	7.0759935189060623e-05	-7.0760710259645023e-05
8228                    	1.4148820944774473e-02	3.5857444534497774e-03	1.0563076491324697e-02	6.9773320891882140e-01	2.5890302778541863e-01	4.3883018113340272e-01	-8.9963576673992074e-02	-3.4886660189374597e-03	7.0744178455335591e-05	-7.7498363174117785e-10	7.0743790963519721e-05	-7.0744565947151460e-05
8229                    	1.4151632968858732e-02	3.5870629760493349e-03	1.0564569992809397e-02	6.9775070680677387e-01	2.5889932181852149e-01	4.3885138498825232e-01	-8.9976031584865418e-02	-3.4887535083800310e-03	7.0758238506446813e-05	-7.7508284544878522e-10	7.0757850965024087e-05	-7.0758626047869540e-05
8230                    	1.4148065877214965e-02	3.5853612568671417e-03	1.0562704620347824e-02	6.9773434147950630e-01	2.5890393350346447e-01	4.3883040797604184e-01	-8.9963237236288685e-02	-3.4886716817403409e-03	7.0740403117018055e-05	-7.7499574111267400e-10	7.0740015619147513e-05	-7.0740790614888611e-05
8231                    	1.4151272961839894e-02	3.5868782603199903e-03	1.0564394701519902e-02	6.9775164925086675e-01	2.5890055945890583e-01	4.3885108979196091e-01	-8.9975265166527554e-02	-3.4887582205999565e-03	7.0756438470712929e-05	-7.7509509585042036e-10	7.0756050923165002e-05	-7.0756826018260842e-05
8232                    	1.4148377643566360e-02	3.5855068839544986e-03	1.0562870759611863e-02	6.9773639269728294e-01	2.5890517131181096e-01	4.3883122138547198e-01	-8.9963025036830499e-02	-3.4886819378286819e-03	7.0741961948046723e-05	-7.7500808847283865e-10	7.0741574444002490e-05	-7.0742349452090957e-05
8233                    	1.4151623196194729e-02	3.5870401625794110e-03	1.0564583033615318e-02	6.9775429223457508e-01	2.5890156871120562e-01	4.3885272352336940e-01	-8.9975577406081905e-02	-3.4887714355179536e-03	7.0758189641862302e-05	-7.7510728270357087e-10	7.0757802088220956e-05	-7.0758577195503662e-05
8234                    	1.4148454796349873e-02	3.5855381354471462e-03	1.0562916660902727e-02	6.9773785767721153e-01	2.5890641786815971e-01	4.3883143980905182e-01	-8.9962510970446039e-02	-3.4886892627277906e-03	7.0742347711406009e-05	-7.7502016968520940e-10	7.0741960201321170e-05	-7.0742735221490861e-05
8235                    	1.4151155070357583e-02	3.5868033404901347e-03	1.0564351729867449e-02	6.9775484406882171e-01	2.5890287604550344e-01	4.3885196802331833e-01	-8.9974545988907445e-02	-3.4887741946886572e-03	7.0755849012072054e-05	-7.7511941143481401e-10	7.0755461452366332e-05	-7.0756236571777764e-05
8236                    	1.4147842498338756e-02	3.5852259283777744e-03	1.0562616569960983e-02	6.9773906929008211e-01	2.5890735181684116e-01	4.3883171747324090e-01	-8.9962182828199871e-02	-3.4886953207916042e-03	7.0739286220698402e-05	-7.7503234661519563e-10	7.0738898704525091e-05	-7.0739673736871714e-05
8237                    	1.4150639411903868e-02	3.5865362374291601e-03	1.0564103174474707e-02	6.9775669883575275e-01	2.5890359258049994e-01	4.3885310625525281e-01	-8.9974756837376435e-02	-3.4887834685227736e-03	7.0753270719134127e-05	-7.7513159325292099e-10	7.0752883153337492e-05	-7.0753658284930748e-05
8238                    	1.4147183593711893e-02	3.5848896779033211e-03	1.0562293915808572e-02	6.9774042892239474e-01	2.5890820409376264e-01	4.3883222482863216e-01	-8.9962010367434758e-02	-3.4887021189526249e-03	7.0735991696968108e-05	-7.7504441454587005e-10	7.0735604174760832e-05	-7.0736379219175384e-05
8239                    	1.4150527041661073e-02	3.5864721906149126e-03	1.0564054851046160e-02	6.9775827117443068e-01	2.5890474774943495e-01	4.3885352342499578e-01	-8.9974387837780431e-02	-3.4887913302156237e-03	7.0752708867350794e-05	-7.7514361011125137e-10	7.0752321295545741e-05	-7.0753096439155847e-05
8240                    	1.4147647603500919e-02	3.5851085808022249e-03	1.0562539022698695e-02	6.9774304932162123e-01	2.5890929558510201e-01	4.3883375373651917e-01	-8.9962229075708583e-02	-3.4887152209482348e-03	7.0738311745317982e-05	-7.7505644804498056e-10	7.0737924217093953e-05	-7.0738699273541997e-05
8241                    	1.4150783807970739e-02	3.5865904912572434e-03	1.0564193316713495e-02	6.9776028767703757e-01	2.5890592971400284e-01	4.3885435796303468e-01	-8.9974214124515950e-02	-3.4888014127281257e-03	7.0753992698330877e-05	-7.7515559286625335e-10	7.0753605120534442e-05	-7.0754380276127313e-05
8242                    	1.4147363123672492e-02	3.5849631346186964e-03	1.0562399989053796e-02	6.9774369057558983e-01	2.5891073014764815e-01	4.3883296042794168e-01	-8.9961115140146791e-02	-3.4887184272175496e-03	7.0736889345606336e-05	-7.7506842355114550e-10	7.0736501811394557e-05	-7.0737276879818115e-05
8243                    	1.4150340377551952e-02	3.5863624036750973e-03	1.0563977973876855e-02	6.9776156215169216e-01	2.5890708173255755e-01	4.3885448041913461e-01	-8.9973699343288527e-02	-3.4888077851008784e-03	7.0751775545684016e-05	-7.7516753071458725e-10	7.0751387961918668e-05	-7.0752163129449391e-05
